#framenumber time energy filename iter
3691 1.8455 0 worm_003691.vtu 0
3701 1.8505 0 worm_003701.vtu 0
3711 1.8555 0 worm_003711.vtu 0
3721 1.8605 0 worm_003721.vtu 0
3731 1.8655 0 worm_003731.vtu 0
3741 1.8705 0 worm_003741.vtu 0
3751 1.8755 0 worm_003751.vtu 0
3761 1.8805 0 worm_003761.vtu 0
3771 1.8855 0 worm_003771.vtu 0
3781 1.8905 0 worm_003781.vtu 0
3791 1.8955 0 worm_003791.vtu 0
3801 1.9005 0 worm_003801.vtu 0
3811 1.9055 0 worm_003811.vtu 0
3821 1.9105 0 worm_003821.vtu 0
3831 1.9155 0 worm_003831.vtu 0
3841 1.9205 0 worm_003841.vtu 0
3851 1.9255 0 worm_003851.vtu 0
3861 1.9305 0 worm_003861.vtu 0
3871 1.9355 0 worm_003871.vtu 0
3881 1.9405 0 worm_003881.vtu 0
3891 1.9455 0 worm_003891.vtu 0
3901 1.9505 0 worm_003901.vtu 0
3911 1.9555 0 worm_003911.vtu 0
3921 1.9605 0 worm_003921.vtu 0
3931 1.9655 0 worm_003931.vtu 0
3941 1.9705 0 worm_003941.vtu 0
3951 1.9755 0 worm_003951.vtu 0
3961 1.9805 0 worm_003961.vtu 0
3971 1.9855 0 worm_003971.vtu 0
3981 1.9905 0 worm_003981.vtu 0
3991 1.9955 0 worm_003991.vtu 0
4001 2.0005 0 worm_004001.vtu 0
4011 2.0055 0 worm_004011.vtu 0
4021 2.0105 0 worm_004021.vtu 0
4031 2.0155 0 worm_004031.vtu 0
4041 2.0205 0 worm_004041.vtu 0
4051 2.0255 0 worm_004051.vtu 0
4061 2.0305 0 worm_004061.vtu 0
4071 2.0355 0 worm_004071.vtu 0
4081 2.0405 0 worm_004081.vtu 0
4091 2.0455 0 worm_004091.vtu 0
4101 2.0505 0 worm_004101.vtu 0
4111 2.0555 0 worm_004111.vtu 0
4121 2.0605 0 worm_004121.vtu 0
4131 2.0655 0 worm_004131.vtu 0
4141 2.0705 0 worm_004141.vtu 0
4151 2.0755 0 worm_004151.vtu 0
4161 2.0805 0 worm_004161.vtu 0
4171 2.0855 0 worm_004171.vtu 0
4181 2.0905 0 worm_004181.vtu 0
4191 2.0955 0 worm_004191.vtu 0
4201 2.1005 0 worm_004201.vtu 0
4211 2.1055 0 worm_004211.vtu 0
4221 2.1105 0 worm_004221.vtu 0
4231 2.1155 0 worm_004231.vtu 0
4241 2.1205 0 worm_004241.vtu 0
4251 2.1255 0 worm_004251.vtu 0
4261 2.1305 0 worm_004261.vtu 0
4271 2.1355 0 worm_004271.vtu 0
4281 2.1405 0 worm_004281.vtu 0
4291 2.1455 0 worm_004291.vtu 0
4301 2.1505 0 worm_004301.vtu 0
4311 2.1555 0 worm_004311.vtu 0
4321 2.1605 0 worm_004321.vtu 0
4331 2.1655 0 worm_004331.vtu 0
4341 2.1705 0 worm_004341.vtu 0
4351 2.1755 0 worm_004351.vtu 0
4361 2.1805 0 worm_004361.vtu 0
4371 2.1855 0 worm_004371.vtu 0
4381 2.1905 0 worm_004381.vtu 0
4391 2.1955 0 worm_004391.vtu 0
4401 2.2005 0 worm_004401.vtu 0
4411 2.2055 0 worm_004411.vtu 0
4421 2.2105 0 worm_004421.vtu 0
4431 2.2155 0 worm_004431.vtu 0
4441 2.2205 0 worm_004441.vtu 0
4451 2.2255 0 worm_004451.vtu 0
4461 2.2305 0 worm_004461.vtu 0
4471 2.2355 0 worm_004471.vtu 0
4481 2.2405 0 worm_004481.vtu 0
4491 2.2455 0 worm_004491.vtu 0
4501 2.2505 0 worm_004501.vtu 0
4511 2.2555 0 worm_004511.vtu 0
4521 2.2605 0 worm_004521.vtu 0
4531 2.2655 0 worm_004531.vtu 0
4541 2.2705 0 worm_004541.vtu 0
4551 2.2755 0 worm_004551.vtu 0
4561 2.2805 0 worm_004561.vtu 0
4571 2.2855 0 worm_004571.vtu 0
4581 2.2905 0 worm_004581.vtu 0
4591 2.2955 0 worm_004591.vtu 0
4601 2.3005 0 worm_004601.vtu 0
4611 2.3055 0 worm_004611.vtu 0
4621 2.3105 0 worm_004621.vtu 0
4631 2.3155 0 worm_004631.vtu 0
4641 2.3205 0 worm_004641.vtu 0
4651 2.3255 0 worm_004651.vtu 0
4661 2.3305 0 worm_004661.vtu 0
4671 2.3355 0 worm_004671.vtu 0
4681 2.3405 0 worm_004681.vtu 0
4691 2.3455 0 worm_004691.vtu 0
4701 2.3505 0 worm_004701.vtu 0
4711 2.3555 0 worm_004711.vtu 0
4721 2.3605 0 worm_004721.vtu 0
4731 2.3655 0 worm_004731.vtu 0
4741 2.3705 0 worm_004741.vtu 0
4751 2.3755 0 worm_004751.vtu 0
4761 2.3805 0 worm_004761.vtu 0
4771 2.3855 0 worm_004771.vtu 0
4781 2.3905 0 worm_004781.vtu 0
4791 2.3955 0 worm_004791.vtu 0
4801 2.4005 0 worm_004801.vtu 0
4811 2.4055 0 worm_004811.vtu 0
4820 2.41 0 worm_004820.vtu 0
4830 2.415 0 worm_004830.vtu 0
4840 2.42 0 worm_004840.vtu 0
4850 2.425 0 worm_004850.vtu 0
4860 2.43 0 worm_004860.vtu 0
4870 2.435 0 worm_004870.vtu 0
4880 2.44 0 worm_004880.vtu 0
4890 2.445 0 worm_004890.vtu 0
4900 2.45 0 worm_004900.vtu 0
4910 2.455 0 worm_004910.vtu 0
4920 2.46 0 worm_004920.vtu 0
4930 2.465 0 worm_004930.vtu 0
4940 2.47 0 worm_004940.vtu 0
